,Followers,Average_Likes,Average_Comments,Average_Engagement_Rate,Engagement_Rate_(60_Days),Posting_frequency_(last_60_days),Posts_(image),Posts_(videos),Posts_(carousel),Average_Hashtags_/_Post_(60_Days),Hashtags_(dictionary)
48,5593,102.81,2.01,1.8741,0.0,0,0,0,0,0.0,{}
49,6269,32.31,1.5,0.5394,0.0258,10,9,1,0,29.0,"{'islandwokbali': 20, 'islandwok': 10, 'chinesefood': 10, 'chinesefoodbali': 10, 'balicafe': 10, 'canggucafe': 20, 'cafebali': 10, 'canggu': 10, 'thebalibible': 10, 'balifood': 10, 'balirestaurant': 10, 'canggufood': 10, 'canggueats': 10, 'wheretoeatbali': 10, 'balifoodies': 10, 'deliciousbali': 10, 'guguide': 10, 'canggufoodies': 10, 'canggulife': 10, 'cangguguide': 10, 'eatinbali': 10, 'foodbali': 10, 'balieats': 10, 'canggucommunity': 10, 'cafecanggu': 10, 'restaurantcanggu': 10, 'restaurantbali': 10}"
50,8617,58.99,2.53,0.7139,0.4944,10,0,10,0,10.0,"{'yaoyatokobahankuemataram': 10, 'yaoyatbk': 10, 'tobakumataram': 10, 'yaoyatokobahankue': 10, 'tobakumataramlombok': 10, 'yaoyatokobahankuemurah': 10, 'tobakumataramonline': 10, 'tobakuonline': 10, 'yaoya': 10, 'tobaku': 10}"
51,10600,50.46,0.92,0.4848,0.4717,12,3,8,1,1.167,"{'gatheringpelayanankesehatan': 1, 'rsisakinah': 2, 'sehatbersama': 1, 'mri': 1, 'radiology': 1, 'tumor': 1, 'lowbackpain': 1, 'braintumor': 1, 'rsisakinahmojokerto': 1, 'serasaditengahkeluarga': 1, 'rumahsakitmojokerto': 1, 'layanankesehatan': 1, 'haridokternasional2024': 1}"
52,4787,7.72,0.59,0.1736,0.0653,8,0,8,0,14.875,"{'jasakontraktorsidoarjo': 8, 'jasakontraktorsurabaya': 9, 'iderumahminimalis': 8, 'iderumahidaman': 6, 'desaininteriorrumah': 8, 'jasakontraktorbali': 9, 'jasakontraktorbangunan': 8, 'desaininterior': 5, 'iderumah': 8, 'desainrumahminimalis': 10, 'arsiteksurabaya': 1, 'arsitekjakarta': 1, 'arsitekrumah': 1, 'arsitekbali': 1, 'renovasirumah': 2, 'bangunrumahsurabaya': 1, 'kontraktorsidoarjo': 1, 'jasaarsiteksurabaya': 1, 'renovasisidoarjo': 1, 'desainrumahsurabaya': 1, 'konstruksisurabaya': 1, 'arsiteksidoarjo': 1, 'rumahimpiansurabaya': 1, 'bangunbersamasidoarjo': 1, 'jasakonstruksisurabaya': 1, 'renovasimurah': 2, 'fyp': 2, 'viral': 2, 'renovasilowbudget': 3, 'bangunrumahmurah': 1, 'reels': 2, 'rumahku': 1, 'jasakontraktorprofesionalbali': 1, 'jelajahliburan': 1, 'rumahmilenial': 1, 'fyppppppppppppppppppppppp': 1, 'viralvideo': 2, 'rumah': 1, 'rumahidaman': 1, 'jasapembangunan': 1, 'property': 1, 'rumah2lantai': 1}"
53,2991,162.21,8.31,5.7009,4.6425,7,0,0,7,14.571,"{'sketchless': 6, 'fls2n': 1, 'desainposter': 1, 'mural': 5, 'muralsamarinda': 5, 'jasalukis': 5, 'jasalukisdinding': 5, 'muralindonesia': 5, 'samarinda': 5, 'balikpapan': 5, 'bontang': 5, 'kukar': 5, 'designinspiration': 5, 'art': 5, 'design': 5, 'artist': 5, 'designinterior': 5, 'designexterior': 5, 'negativecommentwillbeforgiven': 5, 'bakmi': 3, 'restaurant': 3, 'coffeeshop': 2, 'dentist': 2, 'healthy': 2, 'healthcare': 2}"
54,10061,530.56,10.07,5.3735,7.534,4,0,0,4,0.0,{}
55,6744,119.92,14.29,1.99,0.0,0,0,0,0,0.0,{}
56,8338,223.39,18.14,2.8967,0.0,0,0,0,0,0.0,{}
57,7085,207.93,14.38,3.1377,1.1252,18,7,1,10,1.889,"{'35mm': 3, '35mmfilm': 1, '35mmphotography': 1, 'analog': 3, 'analogphotography': 3, 'filmneverdie': 1, 'india': 1, 'dharamshala': 1, 'indiafilm': 1, 'georgia': 2, 'georgiatravel': 1, 'tbilisi': 2, 'tiflis': 1, 'neverstopexploring': 1, 'trinitymagazine': 1, 'surfingmag': 1, 'surfing': 1, 'film': 2, 'analogfilm': 2, 'tbilisigeorgia': 1, 'muse': 1, 'tbilisimuse': 1, 'bali': 1, 'mylovelyisland': 1}"
58,8666,48.3,10.8,0.682,0.1106,17,4,13,0,20.706,"{'pamulang': 15, 'interiorserpong': 13, 'customfurniture': 13, 'furnitureminimalis': 13, 'tangerangselatan': 13, 'parung': 13, 'interiordesign': 4, 'designminimalis': 4, 'kulinerbsd': 13, 'interior': 13, 'ciputattimur': 13, 'customlemari': 13, 'gunungsindur': 4, 'sofaminimalis': 13, 'bsd': 13, 'mejamakan': 13, 'kitchenset': 15, 'customkitchenset': 13, 'pejaten': 2, 'designapartemen': 9, 'kitchenmurah': 9, 'designkitchenset': 9, 'ciputatpamulang': 9, 'bsdcity': 9, 'mejarias': 9, 'serponggarden': 9, 'interiortangerang': 9, 'kitchendesign': 9, 'interiordepok': 9, 'bukitdago': 9, 'goldenpark2': 10, 'goldenpark3serpong': 9, 'perumahanpalemserpongindah': 2, 'kademangan': 2, 'serpongjaya': 1, 'puribintarohijau': 1, 'jelambar': 1, 'lemaripakaian': 2, 'wardrobe': 2, 'cisauk': 1, 'villamelatimas': 1, 'graharayabintaro': 1, 'lemaritangga': 1, 'tvcabinet': 2, 'kamarset': 1, 'perumahanbukitdago': 1, 'kamaranak': 1, 'mejabelajar': 1}"
59,2371,30.23,0.64,1.3019,0.2741,4,3,1,0,30.0,"{'rustic': 4, 'rusticmojokerto': 4, 'rusticindonesia': 4, 'backdropengagement': 4, 'engagement': 4, 'backdropmurah': 4, 'backdropmojokerto': 4, 'dekorasimojokerto': 4, 'dekormojokerto': 4, 'dekorasisidoarjo': 4, 'dekorasigresik': 4, 'dekorasisurabaya': 4, 'dekorasimalang': 4, 'dekorasijombang': 4, 'backdropunduhmantu': 4, 'backdropwedding': 4, 'dekorasiwedding': 4, 'dekorasiakad': 4, 'dekorasiultah': 4, 'sidoarjo': 4, 'jombang': 4, 'malang': 4, 'gresik': 4, 'surabaya': 4, 'pasuruan': 4, 'aslimojokerto': 4, 'backdroprustic': 4, 'weddingmoment': 4, 'dekorasihits': 4, 'dekorasikekinian': 4}"
60,9638,105.41,2.62,1.1209,1.4422,1,1,0,0,0.0,{}
61,5522,327.98,15.15,6.2138,7.6331,2,0,2,0,2.5,"{'janganlupabahagia': 2, 'bandungmenawan': 1, 'aluspisan': 1, 'jabaristimewa': 1}"
62,6649,117.37,8.72,1.8964,1.721,7,0,2,5,1.714,"{'prestigegala2024': 1, 'goodvibes': 1, 'ckingmoments': 3, 'ckingjourney': 3, 'blessed': 2, 'cozetteking': 2}"
63,4851,115.65,6.56,2.5193,7.215,1,0,1,0,6.0,"{'generasiemas': 1, 'kotabanjarmasin': 1, 'walikotabanjarmasin': 1, 'banjarmasinbisa': 1, 'banjarmasinbaiman': 1, 'banjarmasin_barasih_wan_nyaman': 1}"
64,11247,199.49,7.59,1.8412,2.3816,7,4,0,3,3.429,"{'negativecommentwillbeforgiven': 1, '1': 1, 'hutpbdke2': 2, 'hutpbd': 2, 'pesonaindonesia': 2, 'influencerpbd': 2, 'disporaparekrafpbd': 2, 'podcastbaratdaya': 1, 'papuabaratdaya': 1, 'kilangkasim': 1, 'pertamina': 1, 'selagidingin': 1, 'standupcomedy': 1, 'standupindosorong': 1, 'joinstandupcompetition': 1, 'join4pbd': 1, 'joppyeonesimuswayangkau': 1, 'cintaalamcintanegerimu': 1, 'fpkp2024': 1}"
65,4219,93.9,3.06,2.2983,3.1524,7,0,1,6,3.429,"{'loveyourself': 1, 'goodvibes': 1, 'happysaturday': 1, 'thanku2024': 1, 'neverstopworkout': 1, 'mendadakbugar': 1, 'holidays': 1, 'baliindonesia': 2, 'happiness': 1, 'balilife': 1, 'lovequotes': 1, 'refreshing': 1, 'newsprint': 1, 'bali': 2, 'klive': 1, 'holiday': 1, 'potatoheadbeachclub': 1, 'bestoftheday': 1, 'jktinfo': 1, 'jktourism': 1, 'placetogojkt': 1, 'exhibitionjakarta': 1}"
66,9972,133.55,11.9,1.4585,1.1833,7,1,6,0,4.857,"{'run': 1, 'runrunrun': 1, 'runhappy': 2, 'runner': 1, 'healthylifestyle': 2, 'raceday': 1, 'runningmotivation': 1, 'pelarikonten': 1, 'worlderunners': 1, 'healthydrink': 2, 'running': 2, 'lari': 2, 'fueling': 1, 'postlongrun': 1, 'healthyfood': 1, 'carfreeday': 1, 'readytodrink': 1, 'readytodrinkmeal': 3, 'mealreplacement': 3, 'oatmilk': 3, 'gerdfriendly': 2, 'proteinshake': 1}"
67,3948,268.74,5.61,6.9491,5.5218,1,0,0,1,0.0,{}
68,4960,19.72,0.7,0.4117,0.1815,1,0,0,1,0.0,{}
69,5653,117.59,9.69,2.2515,5.3777,1,1,0,0,0.0,{}
70,5774,71.21,5.02,1.3201,0.7144,4,0,0,4,9.5,"{'toddler': 3, 'toddleractivities': 1, 'playground': 1, 'happy': 1, 'happyday': 1, 'daughter': 3, 'baby': 1, 'instagood': 4, 'instagram': 2, 'instalike': 3, 'instamood': 2, 'lf': 1, 'toddlers': 1, 'babygirl': 2, 'cute': 1, 'love': 1, 'lfl': 2, 'modellife': 1, 'babymodels': 1, 'modelling': 1, 'girls': 1, 'momanddaughter': 1, 'toddlerlife': 1, 'toddlermom': 1, 'instafashion': 1}"
71,8555,113.73,12.64,1.4771,0.08,19,17,1,1,1.211,"{'teachersday': 1, 'giftideas': 1, 'teacherappreciation': 1, 'personalizedgifts': 1, 'thankyouteachers': 1, 'elegantgifts': 1, 'heartfeltthanks': 1, 'inspireeducators': 1, 'memorablemoments': 1, 'luxurygiftset': 1, 'qotd': 2, 'quote': 1, 'quoteoftheday': 2, 'letteristco': 2, 'journaling': 2, 'journalspread': 1, 'quotes': 1, 'quotestagram': 1, 'journalinspiration': 1}"
72,4939,52.13,1.38,1.0833,0.5714,9,0,5,4,6.444,"{'nganjukhits': 2, 'jatim': 5, 'nengiis': 8, 'nganjukkekinian': 2, 'wisatanganjuk': 1, 'nganjuk': 1, 'hitsnganjukkekinian': 1, 'kalenancafesawahan': 1, 'mchits': 1, 'mc': 1, 'kediri': 1, 'kediriberbudaya': 3, 'kedirihits': 2, 'pantaið´': 4, 'pantaiindonesia': 5, 'pantaicorotulungagung': 4, 'vibespantaið': 2, 'explore': 1, 'explorepantaiindonesia': 1, 'explorepantaitulungagung': 1, 'pantai': 2, 'healing': 1, 'pantaitulungagungjawatimur': 1, 'loveyourself': 1, 'eksotikakediri': 1, 'kedirijalanjalan': 1, 'kedirilagi': 1, 'vibeskediri': 1, 'wates': 1, 'doshholiday': 1, 'doshholidaykediri': 1}"
73,2192,34.52,0.25,1.5866,0.7755,1,1,0,0,0.0,{}
74,7676,135.2,5.52,1.8332,2.5664,2,1,0,1,0.0,{}
75,7832,30.0,11.09,0.5246,0.2681,1,0,0,1,10.0,"{'mc': 1, 'masterofceremony': 1, 'host': 1, 'moderator': 1, 'mcsemarang': 1. 'mcjawatengah': 1, 'anniversary': 1, 'funbike': 1, 'trainer': 1, 'publicspeaking': 1}"
76,25393,2914.94,16.42,11.5439,3.5167,1,1,0,0,0.0,{}
77,4369,11231.85,132.62,260.116,544.9811,9,0,9,0,6.0,"{'listacuan': 9, 'hygienetips': 3, 'cleantok': 3, 'cleaninghacks': 5, 'cleaningtips': 3, 'homecleaning': 6, 'hometipsandtricks': 3, 'hometips': 3, 'bersihbersihrumah': 3, 'houseoftiktok': 5, 'homedecor': 4, 'homeliving': 3, 'homeimprovement': 3, 'cleaningmotivation': 1}"
78,9415,407.29,24.63,4.5877,0.4036,1,0,1,0,1.0,{'holdontighttour': 1}
79,22915,27.51,3.24,0.1342,0.0289,8,5,3,0,23.0,"{'review': 5, 'testimony': 5, 'testimoni': 5, 'spinalcare': 5, 'spinalcorrect': 5, 'spinaladjustment': 6, 'spinalmanipulation': 6, 'nervepain': 5, 'sarafterjepit': 7, 'sakitpinggang': 6, 'lowbackpain': 6, 'chiropractic': 8, 'punggung': 5, 'pinggang': 5, 'hargachiropractic': 6, 'chiropracticterdekat': 5, 'chiropracticjakarta': 6, 'kretekkretek': 8, 'decompression': 11, 'hnp': 7, 'scoliosis': 6, 'skoliosis': 7, 'migraine': 6, 'backpain': 5, 'neckpain': 6, 'sportsinjury': 6, 'tulangbelakang': 6, 'nasalreleasetechnique': 1, 'cranialfacialrelease': 1, 'sleepapnea': 1, 'sinusitis': 1, 'bellspalsy': 1, 'breathingdisorders': 1, 'trigeminalneuralgia': 1, 'patientofthemonth': 1, 'dryneedling': 2, 'sciatica': 1, 'skiatika': 2, 'marcklok': 1, 'patientreview': 1, 'physiotherapy': 1, 'physio': 1, 'spinalmanipulationtherapy': 1, 'cederaolahraga': 1, 'persib': 1}"
80,4257,15.79,0.01,0.3712,0.0861,3,3,0,0,29.0,"{'tokoruma': 6, 'tokorumaindonesia': 3, 'interiorsurabaya': 3, 'interiorsolo': 3, 'interiorsidoarjo': 3, 'interiormojokerto': 3, 'interiorgresik': 3, 'interiormalang': 3, 'interiorjombang': 3, 'interiorkediri': 3, 'furniturecustom': 3, 'interiorrumah': 3, 'interiorkantor': 6, 'interiorrestoran': 3, 'interiorcafe': 3, 'kitchenset': 3, 'wardrobe': 3, 'modern': 3, 'minimalis': 3, 'industrial': 3, 'fasadbangunan': 3, 'arsitekmodern': 3, 'arsitekmilenial': 3, 'interiormilenial': 3, 'interiorboyolali': 3, 'boyolali': 3, 'kitchensetboyolali': 3}"
81,8014,23.15,1.16,0.3034,0.0,0,0,0,0,0.0,{}
82,8533,457.05,31.89,5.7299,0.0,0,0,0,0,0.0,{}
83,1803,64.15,7.78,3.9893,0.4881,30,0,28,2,11.067,"{'fyp': 29, 'viral': 24, 'style': 22, 'fashion': 21, 'fypã·': 22, 'lumajang': 19, 'outfitoftheday': 18, 'ootd': 20, 'vitaminsea': 16, 'reels': 15, 'reelsinstagram': 16, 'ootdhijab': 2, 'fashionstyle': 2, 'quotes': 5, 'jogja': 1, 'reelitfeelit': 8, 'sea': 1, 'beach': 18, 'rindu': 1, 'sajakrindu': 1, 'quoteoftheday': 1, 'beauty': 1, 'pantai': 2, 'morning': 1, 'reelsvideo': 4, 'fly': 3, 'flying': 2, 'quotestagram': 1, 'outfitofthedaybabe': 1, 'outfit': 4, 'pahlawan': 1, 'tukumharuskeren': 1, 'kpu': 1, 'pemilihandaerah': 1, 'wisata': 1, 'batumalang': 2, 'senja': 2, 'camp': 1, 'beachvibes': 2, 'goodvibes': 3, 'streetstyle': 1, 'hijabfashion': 1, 'hijabstyle': 1, 'lumajangsae': 1, 'camping': 1, 'jalanjalan': 2, 'explorelumajang': 1, 'beachlife': 2, 'warkop': 1, 'coffee': 1, 'lumajanghits': 1, 'breakfast': 1, 'labuanbajo': 3, 'rumahminimalis': 1, 'rumahidaman': 1, 'green': 1, 'homesweethome': 1, 'homedecor': 1, 'flyfishing': 1, 'beachday': 1, 'viralreels': 1, 'love': 1, 'outfitinspiration': 1, 'weekend': 1, 'liburan': 1, 'malang': 1, 'alfatihah': 1, 'rinduayah': 1, 'beachstyle': 1, 'kenangan': 1, 'moments': 1, 'kotalama': 1}"
84,9403,366.08,3.39,3.9293,0.0,0,0,0,0,0.0,{}
85,17395,40.2,1.9,0.242,0.2594,70,21,28,21,5.5,"{'rsuherminamakassar': 46, 'herminamakassar': 6, 'herminahospitals': 63, 'etikabatuk': 1, 'cegahtb': 1, 'dokterspesialisparu': 1, 'tenangdihermina': 38, 'bioelectricalimpedanceanalysis': 1, 'alatbia': 1, 'pengukuranmassaotot': 1, 'cairantubuh': 1, 'giziklinik': 2, 'sehatbersamahermina': 18, 'haridiabetessedunia': 1, 'diabetes': 1, 'cegahdiabetes': 1, 'imunisasidasar': 1, 'imunisasilengkap': 1, 'dokterspesialisanak': 1, 'cherophobia': 1, 'pengidapcherophobia': 1, 'kesehatanmental': 2, 'harikesehatannasional': 1, 'cekkesehatan': 1, 'hidupsehat': 1, 'treadmilltest': 1, 'promotreadmilltest': 1, 'pemeriksaantreadmill': 1, 'treadmillmakassar': 1, 'usgmammae': 1, 'deteksidinikanker': 1, 'kankerpayudara': 3, 'cegahkanker': 1, 'logoobat': 1, 'pengawasanobat': 1, 'obatsesuairesep': 1, 'penggunaanobat': 1, 'tepatpemberianobat': 1, 'haripahlawan': 1, 'pertempuransurabaya': 1, '10november1945': 1, 'hutkotamakassar': 1, 'hut417tahun': 1, 'promousg': 1, 'pemeriksaanusg': 1, 'usg2d': 1, 'promousgmakassar': 1, 'faktaasamurat': 1, 'mitosdanfakta': 1, 'asamurat': 1, 'vaksinwanita': 1, 'vaksinpranikah': 1, 'polivaksin': 2, 'faktorlapar': 1, 'laparsetelahmakan': 1, 'osteoporosis': 1, 'cegahosteporosis': 1, 'vaksininfluenza': 2, 'promovaksinflu': 1, 'vaksinflumakassar': 1, 'mitosataufakta': 1, 'reumatik': 1, 'penyebabreumatik': 1, 'pemeriksaanibuhamil': 1, 'skriningstunting': 1, 'programkesehatan': 1, 'haristrokesedunia': 1, 'strokeawareness': 1, 'seranganstroke': 1, 'pertolonganpertamastroke': 1, 'harisumpahpemuda': 1, 'vaksinmeningitis': 5, 'menactra': 1, 'tipshidupsehat': 1, 'polahidupsehat': 2, 'olahragateratur': 1, 'makansehat': 1, 'istirahatcukup': 1, 'tumbuhkembanganak': 1, 'perkembangananak': 1, 'haridokternasional': 1, 'herminatalks': 1, 'kikst': 1, 'bahayamerkuri': 1, 'skincareaman': 1, 'harikankerpayudarasedunia': 1, 'deteksidini': 1, 'jaminanasuransi': 1, 'jaminanperusahaan': 1, 'hutsulsel2024': 1, 'hutsulsel355tahun': 1, 'rsuherminamakasar': 1, 'cegahmenopause': 1, 'tipscegahmenopause': 1, 'harimenopausesedunia': 1, 'menopause': 1, 'gejalamenopause': 1, 'gejalaawalmenopause': 1, 'mitosbintitan': 1, 'faktabintitan': 1, 'kesehatanmata': 1, 'dokterspesialismata': 2, 'spgdt': 1, 'gawatdarurat': 1, 'infoemergency': 1, 'rujukanpasien': 1, 'spgdtmakassar': 1, 'inforsmakassar': 1, 'emergencycall': 1, 'igdrshermina': 1, 'lawancovid19': 1, 'haricucitangansedunia': 1, 'kebersihantangan': 1, 'jadwalimunisasi': 1, 'imunisasibcg': 1, 'imunisasicampak': 1, 'jadwalimunisasimakassar': 1, 'pendengaran': 1, 'gangguanpendengaran': 1, 'dokterthtmakassar': 1, 'codestroke': 1, 'stroke': 1, 'penangananstroke': 1, 'rsherminanusantara': 2, 'grandopeningrsherminanusantara': 1, 'ikn': 2, 'herminaikn': 1, 'rumahsakitikn': 1, 'ibukotanusantara': 1, 'dokterkulitkelamin': 1, 'telahbergabung': 1, 'kulkelmakassar': 1, 'dermatologivenereologi': 1, 'lokermakassar': 1, 'lowongankerja': 1, 'lokerperawat': 1, 'lokerperawatgigi': 1, 'infolokermakassar': 1, 'faktameningitis': 1, 'vaksinmeningitismakassar': 2, 'herminahsopitals': 1, 'lingkungankerja': 1, 'kesehatanjiwa': 1, 'haripenglihatansedunia': 1, 'pemeriksaanmata': 1, 'faktorpenyebabmiopia': 1, 'miopiapadaanak': 1, 'huttni': 1, 'dirgahayutni79': 1, 'promovaksinmeningitis': 1, 'ibadahumrah': 1, 'ibadahhaji': 1, 'berkasvaksinmeningitis': 1, 'hajiumrah': 1, 'vaksinhaji': 1, 'vaksinumroh': 1, 'kesehatanjemaahhaji': 1, 'haribatiknasional': 1, 'budayaindonesia': 1, 'harikesaktianpancasila': 1, 'penangananrabies': 1, 'gigitanhewan': 1, 'pertolonganpertamarabies': 1, 'vaksinflu': 2, 'jemaahhaji': 1, 'medicalcheckup': 1, 'hajidanumrah': 1, 'harijantungsedunia': 1, 'pemeriksaanjantung': 1, 'wisudakliniktumbuhkembang': 1, 'kliniktumbuhkembang': 1, 'ktkhermina': 1, 'graduationday': 1, 'bebasrabies': 1, 'harirabiessedunia': 1, 'cegahrabies': 1, 'mitosfaktadiabetes': 1, 'penyakitdiabetes': 1, 'dampakdiabetes': 1, 'lukadiabetes': 1, 'manfaatvaksinflu': 1, 'virusinfluenza': 1, 'paketvaksinmakassar': 1, 'klinikvaksin': 1, 'parkinson': 1, 'penyakitparkinson': 1, 'gangguansaraf': 1, 'hariapotekersedunia': 1, 'worldpharmacistsday': 1, 'rsuhermina': 1, 'hermina': 1, 'herminalebihdekat': 1, 'rsherminamakassar': 1, 'onkologi': 1, 'kanker': 1, 'wanita': 1, 'cancer': 1, 'pejuangkanker': 1, 'bedahonkologi': 1, 'pemeriksaanpanoramic': 1, 'panoramicmakassar': 1, 'layananpanoramic': 1, 'layananterbaru': 1}"
86,15324,42.37,3.78,0.3012,0.2494,23,10,12,1,8.0,"{'sewamotorbali': 7, 'traveling': 3, 'sewamotormatic': 3, 'sewamotormaticbali': 3, 'sewamotorbalimurah': 4, 'rentalscooterbali': 3, 'rentalmotorlegian': 3, 'sewamotorlegian': 3, 'rentalmotorkuta': 3, 'jasasewamotordibali': 3, 'sewamotordibali': 3, 'freedelivery': 3, 'sewamotorseminyak': 3, 'travellingindonesia': 3, 'rentalmotorbali': 19, 'sewamotorbandarangurahrai': 3, 'rentalmotorbandarangurahrai': 3, 'motormurah': 3, 'bandarahotel': 3, 'explorebali': 4, 'sewa': 3, 'motor': 3, 'rentalvespabali': 19, 'rentalvespabalimurah': 15, 'rentalvespamurah': 15, 'nusapenida': 2, 'nusapenidatour': 1, 'nusapenidaisland': 1, 'nusapenidatrip': 1, 'nusapenidatraveling': 1, 'nusapenidabali': 1, 'nusapenidaholiday': 1, 'nusapenidatours': 1, 'nusapenidaopentrip': 1, 'nusapenidatravel': 1, 'nusapenidamurah': 1, 'nusapenidabeach': 1, 'nusapenidasnorkeling': 1, 'nusapenidaadventure': 1, 'nusapenidaonline': 1, 'nusapenidaexplore': 1, 'nusapenidapromo': 1, 'nusapenidabesttour': 1, 'nusapenidadiving': 1, 'nusapenidatourpackage': 1, 'nusapenidatravelling': 1, 'rentalvespamaticbali': 1, 'bali': 1, 'balilife': 1, 'balitrip': 1, 'sewamotor': 2, 'sewavespabali': 1, 'liburanbali': 1, 'jalanjalanbali': 1, 'pakettourmurah': 1, 'pakettourbali': 4, 'paketnusapenida': 1, 'vespa': 1, 'sewavespadibali': 2, 'pakettournusapenida': 2, 'infojogja': 1, 'tourbali': 1, 'paketwisatabali': 1, 'tourbalimurah': 1, 'infobali': 1}"
87,20792,144.57,10.33,0.745,0.0617,6,0,0,6,13.333,"{'cincinkawin': 5, 'cincinnikah': 5, 'cincintunangan': 5, 'cincinpalladium': 5, 'cincinemas': 5, 'cincinplatinum': 5, 'cincinperak': 5, 'jewelry': 5, 'weddingring': 6, 'engagementring': 5, 'cincincustom': 5, 'cincincouple': 5, 'inspirasipernikahan': 5, 'pernikahan': 5, 'infosamarinda': 5, 'emas': 1, 'emastua': 1, 'emasmuda': 1, 'gold': 1}"
88,14652,373.63,8.85,2.6104,0.4709,1,0,0,1,0.0,{}
89,8201,95.0,12.45,1.3102,0.1097,1,0,0,1,0.0,{}
90,1908,23.12,0.25,1.2247,0.0,0,0,0,0,0.0,{}
91,2104,149.48,4.37,7.3123,10.5989,2,1,0,1,0.0,{}
92,2199,164.24,8.17,7.8401,0.5116,4,0,1,3,2.0,"{'cheflife': 1, 'cooking': 1, 'reels': 1, 'instafood': 1, 'instareels': 1, 'foodporn': 1, 'cook': 1, 'asiancuisine': 1}"
93,1928,7.53,0.07,0.3943,0.0,0,0,0,0,0.0,{}
94,1851,5.89,0.11,0.3241,0.0,0,0,0,0,0.0,{}
95,1948,9.3,0.4,0.4979,0.0,0,0,0,0,0.0,{}
96,2021,160.11,8.01,8.3182,0.3958,1,0,1,0,3.0,"{'fypage': 1, 'kids': 1, 'kidsfashion': 1}"
97,2104,199.0,16.0,10.2186,0.0,0,0,0,0,0.0,{}
98,1664,8.4,0.3,0.5228,0.0,0,0,0,0,0.0,{}
